file,ground_truth,predicted,confidence,is_correct,reasons
Ledger-Sales_2025-26.xlsx,Ledger,Ledger,1.0,True,Filename matches pattern: .*[Ll]edger.*; Folder matches pattern: .*[Ll]edger.*; Sheet name matches pattern: Sales
Ledger-Sales 2023-24.xlsx,Ledger,Ledger,1.0,True,Filename matches pattern: .*[Ll]edger.*; Folder matches pattern: .*[Ll]edger.*; Sheet name matches pattern: Sales
Ledger-Sales 2023-24 JUL.xlsx,Ledger,Ledger,1.0,True,Filename matches pattern: .*[Ll]edger.*; Folder matches pattern: .*[Ll]edger.*; Sheet name matches pattern: Sales
Ledger-Sales.xlsx,Ledger,Ledger,1.0,True,Filename matches pattern: .*[Ll]edger.*; Folder matches pattern: .*[Ll]edger.*; Sheet name matches pattern: Sales
Ledger-Sales_2024-25.xlsx,Ledger,Ledger,1.0,True,Filename matches pattern: .*[Ll]edger.*; Folder matches pattern: .*[Ll]edger.*; Sheet name matches pattern: Sales
Ashishkumar - October 2024.pdf,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - October 2024.xlsx,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - January 2024.pdf,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar -August 2021.pdf,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - October 2023.pdf,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - January 2024.xlsx,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - April 2022.xlsx,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - September 2021.xlsx,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - November 2023.pdf,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - JUNE 2021.xlsx,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - October 2023.xlsx,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
Ashishkumar - February 2024.xlsx,Salary Slip,Salary Slip,1.0,True,"Folder matches pattern: .*[Ss]alary.*[Ss]lip.*; Keywords matched: earnings, deductions, designation"
